INTERNAL NAME;PT (corrigido);BR (corrigido);EN (corrigido);UK (corrigido);ES (corrigido);CL (corrigido);MX (corrigido);FR (corrigido)
THERAPEUTIC_DECISION;Decisão terapêutica;Decisão terapêutica;Treatment decision;Treatment decision;Decisión terapéutica;Decisión terapéutica;Decisión terapéutica;Décision thérapeutique
TEST_REVIEW_NOTES;Revisão de exames - notas;Revisão de exames - notas;Exam review - notes;Exam review - notes;Revisión de pruebas - notas;Revisión de pruebas - notas;Revisión de pruebas - notas;Révision d'examens - notes
SUSPEND_NOTES_NUTRI;Dieta - notas de suspensão;Dieta - notas de suspensão;Diet - on hold notes;Diet - on hold notes;Dieta - notas de suspensión;Dieta - notas de suspensión;Dieta - notas de suspensión;Régime alimentaire - notes de suspension
SURGICAL_PROCEDURES_NOTES;Procedimentos cirúrgicos - notas;Procedimentos cirúrgicos - notas;Surgery - notes;Surgery - notes;Procedimientos quirúrgicos - notas;Procedimientos quirúrgicos - notas;Procedimientos quirúrgicos - notas;Procédures chirurgicales - notes
SRREC_18;Avaliações de enfermagem - avaliações de enfermagem no recobro;Avaliações de enfermagem - avaliações de enfermagem na recuperação;Nursing assessments - recovery nursing records;Nursing assessments - recovery nursing records;Evaluaciones de enfermería - evaluaciones de enfermería en el despertar;Evaluaciones de enfermería - evaluaciones de enfermería en el despertar;Evaluaciones de enfermería - evaluaciones de enfermería en el despertar;Évaluations infirmières - évaluations infirmières en salle de réveil
SRREC_17;Registos de intervenção - registos operatórios de enfermagem;Registros de intervenção - registros operatórios de enfermagem;Intervention records - operative nursing records;Intervention records - operative nursing records;Registros de intervención - registros operatorios de enfermería;Registros de intervención - registros operatorios de enfermería;Registros de intervención - registros operatorios de enfermería;Saisies d'intervention - saisies opératoires de soins infirmiers
SRREC_16;Registos de intervenção - relato da equipa de cirurgia;Registros de intervenção - relato da equipe de cirurgia;Intervention records - surgery team report;Intervention records - surgery team report;Registros de intervención - informe del equipo de cirugía;Registros de intervención - informe del equipo de cirugía;Registros de intervención - informe del equipo de cirugía;Saisies d'intervention - rapport de l'équipe de chirurgie
SRREC_13;Registos de intervenção - relato da equipa de anestesia;Registros de intervenção - relato da equipe de anestesia;Intervention records - anesthesia team report;Intervention records - anaesthesia team report;Registros de intervención - informe del equipo de anestesia;Registros de intervención - informe del equipo de anestesia;Registros de intervención - informe del equipo de anestesia;Saisies d'intervention - rapport de l'équipe d'anesthésie
SRREC_12;Cirurgia proposta - caracterização da cirurgia;Cirurgia Proposta - caracterização da cirurgia;Proposed surgery - surgery description;Proposed surgery - surgery description;Cirugía propuesta - caracterización de la cirugía;Cirugía propuesta - caracterización de la cirugía;Cirugía propuesta - caracterización de la cirugía;Intervention proposée - caractéristiques de l'intervention
SPUTOVAMO_DOC_DISCHARGE;SPUTOVAMO - motivo(s) para o não preenchimento;SPUTOVAMO - motivo(s) para o não preenchimento;SPUTOVAMO - reason(s) for not filling in;SPUTOVAMO - reason(s) for not filling in;SPUTOVAMO - motivo(s) para la no cumplimentación;SPUTOVAMO - motivo(s) para la no cumplimentación;SPUTOVAMO - motivo(s) para la no cumplimentación;SPUTOVAMO - raison(s) pour ne pas remplir le questionnaire
SOLUCOES_PARENTERICAS_REG_TOMAS;Soluções parentéricas - notas de tomas;Soluções parenterais - notas de tomadas de medicamentos;IV solutions - dose notes;IV solutions - dose notes;Soluciones parenterales - notas de tomas;Soluciones parenterales - notas de tomas;Soluciones parenterales - notas de tomas;Solutions parentérales - notes de prises
SOLUCOES_PARENTERICAS_REG_PRESC;Soluções parentéricas - notas de prescrição;Soluções parenterais - notas de prescrição;IV solutions - prescription notes;IV solutions - prescription notes;Soluciones parenterales - notas de prescripción;Soluciones parenterales - notas de prescripción;Soluciones parenterales - notas de prescripción;Solutions parentérales - notes de prescription
SOLUCOES_PARENTERICAS_CANCEL_TOMAS;Soluções parentéricas - notas de cancelamento de tomas;Soluções parenterais - notas de cancelamento de tomadas de medicamentos;IV solutions - dose cancellation notes;IV solutions - dose cancellation notes;Soluciones parenterales - notas de cancelación de tomas;Soluciones parenterales - notas de cancelación de tomas;Soluciones parenterales - notas de cancelación de tomas;Solutions parentérales - notes d'annulation de prises
SOLUCOES_PARENTERICAS_CANCEL_PRESC;Soluções parentéricas - notas de cancelamento de prescrição;Soluções parenterais - notas de cancelamento de prescrição;IV solutions - prescription cancellation notes;IV solutions - prescription cancellation notes;Soluciones parenterales - notas de cancelación de prescripción;Soluciones parenterales - notas de cancelación de prescripción;Soluciones parenterales - notas de cancelación de prescripción;Solutions parentérales - notes d'annulation de prescription
