"100005528";"Glycylcyclines may reduce the clearance of R- and S-warfarin. The clinical relevance of this interaction has not been established."
"100005541";"The risk of hepatotoxicity induced by Acetaminophen might be increased, while theanalgesic/antipyretic effectiveness of Acetaminophen may be decreased."
"100005548";"Pharmacologic effects of Quinidine may be increased by Urinary Alkalinizers. Elevated quinidine plasma levels, possibly with cardiac conduction disturbances and arrhythmias, may occur."
"100005549";"Pharmacologic effects of Quinine may be increased by Urinary Alkalinizers."
"100005554";"The rate of absorption and onset of hypoglycemic effect of Sulfonylureas may be accelerated by simultaneous administration of Antacids. The clinical significance of this finding is not known."
"100005558";"The hypoglycemic action of Sulfonylureas may be increased by Sulfonamides."
"100005562";"Diazoxide may impair the hypoglycemic effect of Sulfonylureas. Sulfonylureas may reverse diazoxide-induced hyperglycemia."
"100005564";"Hypo and hyperglycemia have been reported with the combination of ETHANOL and Sulfonylureas. Acute alcohol intolerance may occur also."
"100005567";"The hypoglycemic action of Sulfonylureas may be increased by Monoamine Oxidase Inhibitors."
"100005573";"The hypoglycemic action of Sulfonylureas may be increased by Sulfinpyrazone."
"100005579";"The risk of digitalis toxicity may be increased when Sulfonylureas and Digitalis Glycosides are used concurrently."
"100005580";"Cholestyramine may impair the absorption of Sulfonylureas and decrease its hypoglycemic effects. The clinical significance is not clear."
"100005594";"Pharmacologic effects of Sulfonylureas may be increased or decreased by Beta-Adrenergic Blockers-2."
"100005596";"The antipsychotic effectiveness of Phenothiazines may be decreased by Anticholinergics. This combination may cause additive anticholinergic toxicity."
"100005609";"Addition of Phenothiazines to chronic Diazoxide therapy may produce hyperglycemia."
"100005620";"The neuromuscular blocking effects of Succinylcholine may be increased by Phenothiazines."
"100005623";"Prolongation of the QT interval with possible development of cardiac arrhythmias, including torsades de pointes, should be considered when Maprotiline is co-administered with Phenothiazines."
"100005635";"The direction and extent of the effects on clotting vary. Penicillins, especially large intravenous doses, may increase the risk of bleeding inpatients receiving Anticoagulants."
"100005637";"The hypoprothrombinemic effect of Anticoagulants may be decreased by Thiazide-Type Diuretics."
"100005652";"The hypoprothrombinemic effect of Anticoagulants may be in/decreased by Ethanol."
"100005654";"Pharmacologic effects of Hydantoins may be increased by Anticoagulants. Hypoprothrombinemic effects of Anticoagulants may be increased or decreased by Hydantoins."
"100005655";"Hypoprothrombinemic effects of Anticoagulants may be increased by Glucagon."
"100005673";"Hypoprothrombinemic effects of Anticoagulants may be increased by Sulfinpyrazone."
"100005684";"Hypoprothrombinemic effects of Anticoagulants may be increased by Miconazole."
"100005691";"Hypoprothrombinemic effects of Anticoagulants may be increased by Ranitidine."
"100005699";"The hypoprothrombinemic effects of Anticoagulants may be increased during concurrent administration of Sulfamethoxazole/Trimethoprim."
"100005703";"The hypoprothrombinemic effect of Anticoagulants may be increased by Propafenone."
"100005704";"Hypoprothrombinemic effects of Anticoagulants may be increased by Interferon Alfa, possibly with bleeding."
"100005705";"Hypoprothrombinemic effects of Anticoagulants may be increased by Statins in an unpredictable fashion. Monitor coagulation status after addition of statin therapy (or a change to a different statin) in a patient on a stabilized warfarin regimen."
"100005721";"Use of Ketorolac with Anticoagulants may increase the risk of gastrointestinal (GI) bleeding."
"100005728";"Hypoprothrombinemic effects of Anticoagulants may be decreased by Ubidecarenone."
"100005731";"Hypoprothrombinemic effects of Anticoagulants may be increased by Proguanil, possibly resulting in bleeding. Dosage reduction of Anticoagulants may be required; monitor closely."
"100005737";"Hypoprothrombinemic effects of Anticoagulants may be increased by Acarbose."
"100005739";"Carnitine may increase the anticoagulant effect of Anticoagulants. Clinical significanceis not known."
"100005742";"Pharmacologic effects of Anticoagulants may be increased or decreased by Thiazolidinediones."
"100005743";"Hypoprothrombinemic effects of Anticoagulants may be increased by Quetiapine."
"100005769";"The hypoprothrombinemic effects of Anticoagulants may be increased during co-administration of Tyrosine Kinase Inhibitors."
"100005771";"The risk of bleeding with Anticoagulants may be altered with concomitant use of Serotonin Norepi Reuptake Inhibitors. It should be noted that the literature is conflicting and some studies have shown no effect of duloxetine on warfarin."
"100005773";"The hypoprothrombinemic effects of Anticoagulants may be increased by Histone Deacetylase Inhibitors. There is potenital for enhanced pharmacologic effects of Anticoagulants, but no outcome information is currently available."
"100005783";"Pharmacologic effects of Corticosteroids may be decreased by Barbiturates with possible exacerbation of the disease being treated."
"100005814";"Reduced cyclosporine blood or plasma levels; the immunosuppressive action of Cyclosporine might be reduced."
"100005816";"The pharmacological effects of Guanfacine may be decreased by Barbiturates."
"100005819";"Pharmacologic effects of Teniposide may be decreased by Barbiturates."
"100005823";"Pharmacologic effects and plasma concentrations of Barbiturates may be increasedby Stiripentol."
"100005832";"Plasma concentrations and pharmacologic effects of Vasopressin Receptor Antagonists may be decreasedby Barbiturates compromising therapeutic effectiveness. Coadministration of CYP 3A inducers, such as Barbiturates, with Vasopressin Receptor Antagonists should be avoided according to official package labeling."
"100005837";"The plasma concentrations and pharmacologic effects of Maraviroc may be decreased by Barbiturates. A Maraviroc dosage adjustment is recommended in official package labeling during concomitant therapy with strong CYP 3A4 inducers, such as Barbiturates. Coadministration of Maraviroc and Barbiturates is contraindicated in patients with severe renal impairment."
"100005838";"The pharmacologic effects of Epothilones may be decreased by strong CYP3A4 inducers, such as Barbiturates. Coadministration of Epothilones and Barbiturates should be avoided according to official package labeling."
"100005843";"Xanthine Oxidase Inhibitors may substantially increase the plasma concentrations and pharmacologic effects of Thiopurines. Bone marrow depression (leukopenia, thrombocytopeniaand anemia) may occur. A dose reduction of Thiopurines is recommended when coadministered with allopurinol. The concomitant use of febuxostat and Thiopurines is contraindicated."
"100005856";"A severe reaction potentially involving the respiratory, cardiac and central nervous systems may occur shortly after administering Narcotic Analgesics to patients receiving Monoamine Oxidase Inhibitors. At least 14 days should elapse between discontinuation of Monoamine Oxidase Inhibitors and initiation of treatment with Narcotic Analgesics."
"100005859";"The antimicrobial effectiveness of Clindamycin/Lincomycin(Oral) may be decreased by Aluminum Salts."
"100005862";"Effects of Ethambutol may be decreased by Aluminum Salts."
