"ALLERGY.CODE_ALLERGY.777630320";"DIAMOX powder and solvant for solution for injection 500 mg"
"ALLERGY.CODE_ALLERGY.777630321";"DIAMOX tablet 250 mg"
"ALLERGY.CODE_ALLERGY.777630322";"ASPEGIC solution for injection 500 mg/5 ml"
"ALLERGY.CODE_ALLERGY.777630323";"ZOVIRAX oral suspension 200 mg/5 ml"
"ALLERGY.CODE_ALLERGY.777630324";"ZOVIRAX tablet 200 mg"
"ALLERGY.CODE_ALLERGY.777630325";"ZOVIRAX tablet 800 mg"
"ALLERGY.CODE_ALLERGY.777630326";"ZOVIRAX eye ointment 3%"
"ALLERGY.CODE_ALLERGY.777630327";"ZOVIRAX cream 5%"
"ALLERGY.CODE_ALLERGY.777630328";"DIFFERIN cream 0.1%"
"ALLERGY.CODE_ALLERGY.777630329";"HEPSERA tablet 10 mg"
"ALLERGY.CODE_ALLERGY.777630330";"REPARIL N gel"
"ALLERGY.CODE_ALLERGY.777630331";"ZENTEL oral suspension 100 mg/5 ml"
"ALLERGY.CODE_ALLERGY.777630332";"ZENTEL film-coated tablet 200 mg"
"ALLERGY.CODE_ALLERGY.777630333";"VENTOLIN pressurised inhalation, suspension 100 µg/dose"
"ALLERGY.CODE_ALLERGY.777630334";"VENTOLIN Diskus inhalation powder 200 µg/dose"
"ALLERGY.CODE_ALLERGY.777630335";"VENTOLIN syrup 2 mg/5 ml"
"ALLERGY.CODE_ALLERGY.777630336";"VENTOLIN solution for nebulization 5 mg/ml"
"ALLERGY.CODE_ALLERGY.777630337";"FOSAMAX ONCE WEEKLY tablet 70 mg"
"ALLERGY.CODE_ALLERGY.777630338";"XATRAL XL prolonged-release tablet 10 mg"
"ALLERGY.CODE_ALLERGY.777630339";"DUXIL coated tablet 30 mg + 10 mg"
"ALLERGY.CODE_ALLERGY.777630340";"XANAX tablet 0.5 mg"
"ALLERGY.CODE_ALLERGY.777630341";"XANAX tablet 1 mg"
"ALLERGY.CODE_ALLERGY.777630342";"CAVERJECT powder and solvent for solution for injection 10 µg/1 ml"
"ALLERGY.CODE_ALLERGY.777630343";"MUCOSOLVAN oral solution 0.3%"
"ALLERGY.CODE_ALLERGY.777630344";"MODURETIC tablet 5 mg + 50 mg"
"ALLERGY.CODE_ALLERGY.777630345";"AMINOPHYLLINE solution for injection 25 mg/ml"
"ALLERGY.CODE_ALLERGY.777630346";"CORDARONE tablet 200 mg"
"ALLERGY.CODE_ALLERGY.777630347";"CORDARONE solution for infusion 150 mg/3 ml"
